"","CCAA","DR","sum.Total"
"1","Andalucia",567.941965049725,23669
"2","Aragon",1373.31339333021,9572
"3","Asturias",497.653500195542,2606
"4","Baleares",583.752370678405,3286
"5","Canarias",510.172569842235,5493
"6","Cantabria",688.375743015568,2073
"7","Castilla-la Mancha",518.677353072981,5777
"8","Castilla y Leon",1194.80835557363,14890
"9","Cataluña",603.344504787291,22532
"10","Comunidad de Madrid",1196.59740966841,40258
"11","Comunidad Valenciana",520.207867309622,13116
"12","Extremadura",420.526172837194,1717
"13","Galicia",375.609152421057,4437
"14","La Rioja",1046.09246270494,1657
"15","Murcia",483.433273222134,3388
"16","Navarra",710.470885673495,2222
"17","Pais vasco",827.348426651979,6876
