Lugar de residencia (capitales);Mes de la defunción;Sexo;Total
Total;Total;Total;166.773
Total;Total;Hombres;80.74
Total;Total;Mujeres;86.033
Total;Enero;Total;13.866
Total;Enero;Hombres;6.639
Total;Enero;Mujeres;7.227
Total;Febrero;Total;11.599
Total;Febrero;Hombres;5.481
Total;Febrero;Mujeres;6.118
Total;Marzo;Total;21.428
Total;Marzo;Hombres;10.874
Total;Marzo;Mujeres;10.554
Total;Abril;Total;22.883
Total;Abril;Hombres;10.453
Total;Abril;Mujeres;12.43
Total;Mayo;Total;11.653
Total;Mayo;Hombres;5.548
Total;Mayo;Mujeres;6.105
Total;Junio;Total;10.032
Total;Junio;Hombres;4.791
Total;Junio;Mujeres;5.241
Total;Julio;Total;11.278
Total;Julio;Hombres;5.342
Total;Julio;Mujeres;5.936
Total;Agosto;Total;11.99
Total;Agosto;Hombres;5.774
Total;Agosto;Mujeres;6.216
Total;Septiembre;Total;11.561
Total;Septiembre;Hombres;5.698
Total;Septiembre;Mujeres;5.863
Total;Octubre;Total;13.322
Total;Octubre;Hombres;6.698
Total;Octubre;Mujeres;6.624
Total;Noviembre;Total;13.679
Total;Noviembre;Hombres;6.795
Total;Noviembre;Mujeres;6.884
Total;Diciembre;Total;13.482
Total;Diciembre;Hombres;6.647
Total;Diciembre;Mujeres;6.835
Albacete;Total;Total;1.936
Albacete;Total;Hombres;976
Albacete;Total;Mujeres;960
Albacete;Enero;Total;142
Albacete;Enero;Hombres;76
Albacete;Enero;Mujeres;66
Albacete;Febrero;Total;117
Albacete;Febrero;Hombres;62
Albacete;Febrero;Mujeres;55
Albacete;Marzo;Total;396
Albacete;Marzo;Hombres;194
Albacete;Marzo;Mujeres;202
Albacete;Abril;Total;356
Albacete;Abril;Hombres;165
Albacete;Abril;Mujeres;191
Albacete;Mayo;Total;100
Albacete;Mayo;Hombres;50
Albacete;Mayo;Mujeres;50
Albacete;Junio;Total;122
Albacete;Junio;Hombres;67
Albacete;Junio;Mujeres;55
Albacete;Julio;Total;96
Albacete;Julio;Hombres;47
Albacete;Julio;Mujeres;49
Albacete;Agosto;Total;127
Albacete;Agosto;Hombres;66
Albacete;Agosto;Mujeres;61
Albacete;Septiembre;Total;117
Albacete;Septiembre;Hombres;63
Albacete;Septiembre;Mujeres;54
Albacete;Octubre;Total;136
Albacete;Octubre;Hombres;71
Albacete;Octubre;Mujeres;65
Albacete;Noviembre;Total;107
Albacete;Noviembre;Hombres;56
Albacete;Noviembre;Mujeres;51
Albacete;Diciembre;Total;120
Albacete;Diciembre;Hombres;59
Albacete;Diciembre;Mujeres;61
Alicante;Total;Total;3.019
Alicante;Total;Hombres;1.532
Alicante;Total;Mujeres;1.487
Alicante;Enero;Total;290
Alicante;Enero;Hombres;148
Alicante;Enero;Mujeres;142
Alicante;Febrero;Total;225
Alicante;Febrero;Hombres;111
Alicante;Febrero;Mujeres;114
Alicante;Marzo;Total;274
Alicante;Marzo;Hombres;140
Alicante;Marzo;Mujeres;134
Alicante;Abril;Total;272
Alicante;Abril;Hombres;122
Alicante;Abril;Mujeres;150
Alicante;Mayo;Total;248
Alicante;Mayo;Hombres;120
Alicante;Mayo;Mujeres;128
Alicante;Junio;Total;213
Alicante;Junio;Hombres;100
Alicante;Junio;Mujeres;113
Alicante;Julio;Total;273
Alicante;Julio;Hombres;143
