Funciones;Sexo;Edad;Periodo;Total
Tasa de mortalidad;Ambos sexos;0;2020;2,519513
Tasa de mortalidad;Ambos sexos;0;2019;2,593024
Tasa de mortalidad;Ambos sexos;0;2018;2,610567
Tasa de mortalidad;Ambos sexos;0;2017;2,651609
Tasa de mortalidad;Ambos sexos;0;2016;2,645411
Tasa de mortalidad;Ambos sexos;0;2015;2,641004
Tasa de mortalidad;Ambos sexos;0;2014;2,82366
Tasa de mortalidad;Ambos sexos;0;2013;2,616651
Tasa de mortalidad;Ambos sexos;0;2012;2,990397
Tasa de mortalidad;Ambos sexos;0;2011;3,078156
Tasa de mortalidad;Ambos sexos;0;2010;3,130723
Tasa de mortalidad;Ambos sexos;0;2009;3,113718
Tasa de mortalidad;Ambos sexos;0;2008;3,388089
Tasa de mortalidad;Ambos sexos;0;2007;3,444685
Tasa de mortalidad;Ambos sexos;0;2006;3,536054
Tasa de mortalidad;Ambos sexos;0;2005;3,753737
Tasa de mortalidad;Ambos sexos;0;2004;3,98496
Tasa de mortalidad;Ambos sexos;0;2003;3,971611
Tasa de mortalidad;Ambos sexos;0;2002;4,116835
Tasa de mortalidad;Ambos sexos;0;2001;4,039161
Tasa de mortalidad;Ambos sexos;0;2000;4,438137
Tasa de mortalidad;Ambos sexos;0;1999;4,50657
Tasa de mortalidad;Ambos sexos;0;1998;4,77723
Tasa de mortalidad;Ambos sexos;0;1997;5,060729
Tasa de mortalidad;Ambos sexos;0;1996;5,504818
Tasa de mortalidad;Ambos sexos;0;1995;5,424156
Tasa de mortalidad;Ambos sexos;0;1994;5,912353
Tasa de mortalidad;Ambos sexos;0;1993;6,59961
Tasa de mortalidad;Ambos sexos;0;1992;7,101377
Tasa de mortalidad;Ambos sexos;0;1991;7,258028
Tasa de mortalidad;Ambos sexos;1;2020;0,199534
Tasa de mortalidad;Ambos sexos;1;2019;0,205948
Tasa de mortalidad;Ambos sexos;1;2018;0,203858
Tasa de mortalidad;Ambos sexos;1;2017;0,223992
Tasa de mortalidad;Ambos sexos;1;2016;0,255554
Tasa de mortalidad;Ambos sexos;1;2015;0,186915
Tasa de mortalidad;Ambos sexos;1;2014;0,213759
Tasa de mortalidad;Ambos sexos;1;2013;0,221828
Tasa de mortalidad;Ambos sexos;1;2012;0,241877
Tasa de mortalidad;Ambos sexos;1;2011;0,275937
Tasa de mortalidad;Ambos sexos;1;2010;0,275663
Tasa de mortalidad;Ambos sexos;1;2009;0,304217
Tasa de mortalidad;Ambos sexos;1;2008;0,297464
Tasa de mortalidad;Ambos sexos;1;2007;0,319573
Tasa de mortalidad;Ambos sexos;1;2006;0,297259
Tasa de mortalidad;Ambos sexos;1;2005;0,301044
Tasa de mortalidad;Ambos sexos;1;2004;0,343206
Tasa de mortalidad;Ambos sexos;1;2003;0,374695
Tasa de mortalidad;Ambos sexos;1;2002;0,382386
Tasa de mortalidad;Ambos sexos;1;2001;0,341318
Tasa de mortalidad;Ambos sexos;1;2000;0,392702
Tasa de mortalidad;Ambos sexos;1;1999;0,47092
Tasa de mortalidad;Ambos sexos;1;1998;0,395185
Tasa de mortalidad;Ambos sexos;1;1997;0,488156
Tasa de mortalidad;Ambos sexos;1;1996;0,488633
Tasa de mortalidad;Ambos sexos;1;1995;0,517454
Tasa de mortalidad;Ambos sexos;1;1994;0,532655
Tasa de mortalidad;Ambos sexos;1;1993;0,614145
Tasa de mortalidad;Ambos sexos;1;1992;0,641601
Tasa de mortalidad;Ambos sexos;1;1991;0,660531
